name	targets
Pyridoxal Phosphate	AGXT2,GAD1,CBS,KYNU,SHMT1,NFS1,GOT1,OAT,ODC1,AADAT,ABAT,PNPO,SGPL1,TAT,CCBL1,THNSL1,PYGL,SPTLC2,CSAD,HDC,AZIN2,SDS,GCAT,GLDC,GPT,PSAT1,ALAS1,AGXT,PDXP,SPTLC1,CTH,BCAT1,BCAT2,PROSC,FTCD,GOT2,PYGB,PYGM,DDC,GIG18,GAD1,,,,,ALAS1,GAD2,DDC,PDXDC1,CCBL2,GADL1,SCLY,IGSF10,PHYKPL,GAD1,SHMT2,ALAS2,GPT2,MOCOS,SDSL,PCAP,,SRR,SEPSECS,SPTLC3,GAD65,TLH6
Cyanocobalamin	MTR,MUT,MTRR,MMAA,MMACHC,MTHFR
Tetrahydrofolic acid	MTHFD1,MTHFD2,AMT,ALDH1L1,MTR,FTCD,ATIC,SHMT1,SHMT2,MTHFR,,MTFMT
L-Histidine	HDC,HARS,SLC38A3,HAL
Ademetionine	GNMT,AMD1,MAT2A,CBS,MAT1A,COMT
Pyruvic acid	SLC16A3,SLC16A2,AGXT2,SLC16A5,PKLR,SLC16A6,SLC16A7,PDHB,PKM,ABAT,SLC16A4,SLC16A8,SLC16A1,PC
L-Phenylalanine	TAT,SLC7A8,FARSA,PAH,FARS2,FARSB,TH
Biotin	PCCB,HLCS,SLC5A6,MCCC2,ACACB,MCCC1,PC,PCCA,ACACA
Choline	PCYT1B,ACHE,PCYT1A,PLD2,BCHE,PLD1,PHOSPHO1
L-Lysine	SLC7A1,SLC7A4,SLC7A3,SLC7A2,KARS
L-Arginine	NOS3,SLC7A3,AZIN2,ASL,NOS2,SLC7A1,ARG2,SLC7A4,ASS1
Vitamin C	LCT,,XYLA,PLOD2,PHYH,PLOD3,BBOX1,DBH,PAM,P4HA1,P3H1,OGFOD2,ALKBH2,P3H2,P3H3,OGFOD1,EGLN2,ALKBH3,KDM5D,EGLN1,SLC23A1,PLOD1,EGLN3,TMLHE,P4HTM
Spermine	SMS,SMOX,ODC1
L-Aspartic Acid	RNASE1,LYZ,SLC25A13,GOT1,ASPA,ASNS,ASS1,ACY1,GOT2,DARS,SLC25A12,ASPH,PAICS,CAD,ADSS,SLC1A1,GIG18,ASS,DARS2,ASRGL1,ADSSL1,ACY3
Ornithine	OAT,OTC,ARG1,OAZ1,SLC7A2,SLC25A2,SLC7A4,SLC7A1,ARG2,SLC25A15,SLC7A3,OAZ2,GATM,OAZ3
L-Glutamine	CTPS1,PPAT,GLUL
Adenosine monophosphate	CREB1,PIM1,PDE4B,PYGL,PRKAB1,HINT1,PDE4D,ACSS1,ACSS2,PRKAA1,PRKAB2,ADCY1,ACSL1,FBP1,ADK
Alpha-Linolenic Acid	FADS1,FADS2,SLC8A1,TRPV1,ELOVL4
L-Serine	CBS,SDS,SRR,SPTLC2,SPTLC1,SARS,AGXT
L-Methionine	MTRR,MTR,METAP2,BHMT,BHMT2
L-Tyrosine	TH,YARS2,YARS,TAT
Calcitriol	VDR
Lutein	
Cystine	SLC7A11,CTNS,SLC7A9,SLC3A1
Succinic acid	SDHC,SUCNR1,OXCT2,TMLHE,SUCLA2,SLC25A10,SDHA,HSD17B6,SLC13A3,SLC13A2,SLC13A1,SUCLG2,SDHD,P4HA2,PLOD3,BBOX1,P4HA1,SDHB,ALDH5A1,SUCLG1,OXCT1,PLOD1,ASPH,P3H1,P3H2,P3H3
Riboflavin	RFK,RIBC,BLVRB
N-Acetylglucosamine	B4GALT3,B4GALT4,B4GALT2,NAGK,NAGPA,NAGLU,RENBP,B4GALT1
Glutamic Acid	GRM1,GRM4,GRIK4,GRIK5,GRM7,GRM8,SLC1A7,OPLAH,PFAS,BCAT2,GRIN2D,GRID2,GRIN3B,GATB,GLS,GOT2,EPRS,ASNS,GLUL,GOT1,TAT,GPT,GGCX,SLC1A3,SLC1A2,SLC1A1,GCLC,SLC1A6,GLUD2,GMPS,BCAT1,ABAT,GRIN1,FPGS,ENPEP,GRIN2A,GRIN2B,GRIN2C,GIG18,EARS2,LGSN,NADSYN1,CCBL2,NAGS,AADAT,GRIN3A,GPT2,SLC25A18,SLC25A22,AASS,GLS2,DNPEP,GRID1,SLC7A11,CPQ,PSAT1,GLUD1,GRIK1,GRIA1,GCLM,FOLH1,GAD2,GAD1,FTCD,GRIA2,GRIA3,GRIA4,ALDH18A1,GRIK2,GRIK3
Glutathione	MGST3,HPGDS,TXNDC12,GSTA1,GSTA2,MGST1,ESD,GGT1,GSTM2,GLRX,GPX4,GSTM5,GPX6,HAGH,GPX1,GPX8,GPX7,MGST2,GSTO2,GLRX2,GLO1,LTC4S,GSR,GSS,GSTM1,GSTK1,GSTA3,GSTM3,GSTA4,GSTM4,GSTA5,GSTP1,GSTO1,GPX1,GPX2,GSTT1,GSTZ1,GPX5,GPX3
Phosphatidyl serine	DGKG,DGKD,PTDSS2,SMPD4,SMPD3,ATP8A1,PRKCA,PTDSS1,PISD,SCARB1
Glycine	GCAT,ALAS1,ALAS2,GCSH,GARS,GRIN2A,BAAT,GPR18,GSS,GRIN2C,,GLYAT,SLC36A1,SHMT2,GLYATL2,GLYATL1,AGXT2,SLC32A1,PIPOX,SLC6A5,GRIN3B,GLDC,SLC6A9,GLRA1,AGXT,GLRB,SHMT1,GLRA3,GLRA2,GNMT,GATM
Calcidiol	VDR
Pyridoxal	PDXK
Creatine	CKM,CKMT1A,CKB,CKMT2,SLC6A8,GAMT
L-Leucine	LARS2,BCAT2,BCAT1,LCMT2,LCMT1,LARS
L-Tryptophan	WARS2,TRPS,WARS
L-Cysteine	GCLM,GCLC,GOT1,CTH,CBS,CARS,MGMT,GSS,SLC19A3,CARS2,CSAD,NFS1,CDO1
Thiamine	TPK1,SLC19A2
Ergocalciferol	VDR
Dihomo-gamma-linolenic acid	PTGS1,PTGS2
L-Citrulline	ASS1,DDAH2,ASS,DDAH1,OTC,NOS1,NOS2,NOS3,PADI6,PADI1,PADI3,PADI2,PADI4
L-Threonine	THNSL1,TARS,TARS2
NADH	UGDH,ADH1A,SORD,ADH4,ADH1C,ADH1B,ADH7,GPD1,LDHAL6A,ADH5,AKR1B1,HSD17B10,MDH2,LDHA,ME2,HSD17B4,LDHAL6B,LDHC,LDHB,EHHADH,HADH,ME3,BDH1,MDH1,HIBADH,HSD17B3,HMGCR,ME1,PHGDH,HSD17B7,IDH3G,IDH3B,IDH3A,HSD17B1,HSD17B2,RDH5,H6PD,HSD17B8,AKR1C4,IMPDH2,AKR1C3,HPGD,TSTA3,AKR1C1,HSD11B1,HSD3B2,HSD3B1,IMPDH1,HADHA,ALDH2,HSD11B2,AKR1C2,NSDHL,ALDH3B2,ALDH6A1,ALDH3A1,ALDH1A1,GAPDHS,ALDH9A1,ALDH1A3,ALDH1B1,ALDH3B1,GAPDH,ALDH1A2,ALDH3A2,ALDH5A1,ALDH7A1,BLVRB,PYCR2,PYCR1,GLUD1,PDHB,PDHA2,PDHA1,BLVRA,ACADS,DHFR,OGDH,GLUD2,DHCR7,NQO2,MT-ND2,AASS,MT-ND3,NDUFS7,MTHFD1,MTHFD2,ALDH4A1,CYB5R3,NDUFA11,MT-ND4,QDPR,MT-ND1,NNT,NDUFA5,NDUFA9,MT-ND4L,NDUFA10,NDUFA7,NDUFA1,MT-ND6,MT-ND5,NDUFA4,NDUFA6,NDUFAB1,NDUFA2,NDUFA8,NDUFA3,NDUFB8,NDUFC2,NDUFB1,NDUFS1,NDUFB10,NDUFB4,NDUFB3,NDUFB2,NDUFB7,NDUFB9,NDUFS2,NDUFB5,NDUFC1,NDUFB6,NDUFV3,DLD,NDUFS3,GSR,NDUFA12,NDUFS5,NDUFS4,NDUFV1,NDUFV2,NDUFA13,CDO1,NDUFS6,NDUFA4L2,NDUFS8,CYP4A11,DLAT,AMT,MSMO1,HMOX1,HMOX2,CYP17A1,TYR
Folic Acid	FOLR2,FOLR3
Icosapent	PTGS2,PTGS1,PPARG,PPARD,FADS1,ACSL4,ACSL3,FFAR1,SLC8A1,TRPV1
L-Alanine	AGXT,ABAT,KYNU,AARS2,PHYKPL,GPT2,GPT,NFS1,SLC36A1,SLC7A8,AGXT2,AARS,SLC1A4
L-Valine	PCCB,BCAT1,VARS
Vitamin A	RDH12,DHRS3,ALDH1A3,RETSAT,RDH11,DHRS4,RDH14,RDH8,LRAT,RBP1,RDH5,RDH13,RBP3,ALDH1A2,ALDH1A1,RLBP1
Vitamin E	NR1I2,PRKCB,ALOX5,PRKCA,DGKA,PPP2CB,PPP2CA,SEC14L4,SEC14L3,SEC14L2
Pyridoxine	PDXK
Lipoic Acid	LIPT1,LIAS,SLC5A6
L-Isoleucine	IARS2,ACADSB,BCAT1,BCAT2,IARS
Aspartame	TRPV1,TAS1R2
Cholecalciferol	VDR
Menadione	GGCX,VKORC1,VKORC1L1,F2,F7,F9,F10,PROC,PROS1,PROZ,NQO2,NQO1,BGLAP
ATP	ABL2,ABCB1,ABCG1,ABCC2,ABCA1,ACSS2,ALK,NAE1,PRKAA1,ARAF,ACVRL1,ACSL1,NT5C2,ASNA1,ABCC9,AKT1,ADRBK1,APAF1,ACSS1,ACVR1B,ACVR1,ABCB11,ASNS,CDK15,SLC25A4,ABCC8,ASS1,AFG3L2,ADRBK2,AMHR2,TNK2,ABL1,ADCY1
L-Proline	P4HA2,PRODH,PPIH,PROSC,P4HA1,PPIB,PPIF,PPIC,PPIA,PPIG,P3H1,P5CR2,PARS2,P3H2,P3H3,PYCRL,L3HYPDH,PYCR1,EPRS,SLC6A14,SLC6A7,PYCR2
Adenine	APRT,MTNN,ACACB,ACP1,PECR,MUTY,PTD,SRPK2,RUVB,MTAP,COBT
L-Asparagine	SLC1A5,ASRGL1,NARS2,SLC38A3,ASNS,NARS
Pravastatin	HMGCR
Fluvoxamine	SLC6A4
Valsartan	AGTR1
Ramipril	ACE
Masoprocol	ALOX5
Flunisolide	NR3C1
Baclofen	GABBR1,GABBR2
Amphetamine	SLC18A2,SLC6A3,CARTPT,TAAR1,SLC6A2,ADRA1A,ADRA1B,ADRA1D,ADRA2A,ADRA2B,ADRA2C,ADRB1,ADRB2,ADRB3,DRD2,MAOB,SLC6A4,MAOA,MAOB,VMAT2
Pentagastrin	CCKBR
Nicotine	CHRNA4,CHRNA7,CHRNB2,CHRNA2,CHRNA3,CHRNA5,CHRNA6,CHRNA9,CHRNA10,CHRNB3,CHRNB4,CYP19A1,CHAT
Cevimeline	CHRM3,CHRM1
Lorazepam	GABRA1,GABRA2,GABRA3,GABRA4,GABRA5,GABRA6,GABRB1,GABRB2,GABRB3,GABRD,GABRE,GABRG1,GABRG2,GABRG3,GABRP,GABRQ,TSPO
Esmolol	ADRB1
Bortezomib	PSMB5,PSMB1
Ethchlorvynol	GABRA1,GABRA2,GABRA3,GABRA4,GABRA5,GABRA6,GABRB1,GABRB2,GABRB3,GABRD,GABRE,GABRG1,GABRG2,GABRG3,GABRP,GABRQ
Carbidopa	DDC
Phentermine	SLC6A2,SLC6A4,SLC6A3,MAOA,MAOB
Indecainide	SCN5A
Tramadol	OPRM1,SLC6A2,SLC6A4,HTR2C,OPRK1,OPRD1,GRIN3A,CHRNA7,CHRM3
Vidarabine	,,TK
Betaxolol	ADRB1,ADRB2
Fluconazole	ERG11
Troglitazone	PPARG,ACSL4,SERPINE1,SLC29A1,ESRRG,ESRRA
Oseltamivir	NA,CES1,NEU1,NEU2
Erythromycin	MLNR,KCNH2,ALB
Hydroxocobalamin	MTR,MUT,MTRR,MMAA,TCN1,AMN,CUBN,MMAB,MMACHC
Caffeine	ADORA1,ADORA2A,PDE4B,RYR1,PDE1A,PDE1B,PDE1C,PDE10A,PDE4A,PDE4B,PDE4C,PDE4D,PDE7B,PDE2A,PDE3A,PDE3B,PDE5A,PDE6C,PDE11A,PDE7A,PDE8A,PDE8B,PDE9A,PDE6A,PDE6B,PRKDC,PIK3CD,PIK3CA,PIK3CB,ITPR1,ITPR2,ITPR3,ATM
Succinylcholine	CHRNA10,CHRNA7,CHRM1,CHRM2,CHRM3
Sildenafil	PDE5A,PDE6G,PDE6H
Dofetilide	KCNH2,KCNK2,KCNJ12
Pyrimethamine	DHFR,
Reserpine	SLC18A2,SLC18A1
Azithromycin	RPLD,RPLV,PADI4
Ticlopidine	P2RY12
Trospium	CHRM1
Adapalene	RARG,RARB,RXRG,RXRB,RARA,RXRA
Midodrine	ADRA1A,ADRA1B,ADRA1D
Remikiren	REN
Pantoprazole	ATP4A
Torasemide	SLC12A1
Citalopram	SLC6A4,HRH1,ADRA1A,CHRM1
Eletriptan	HTR1D,HTR1B,HTR1F,HTR1A,HTR1E,HTR2B,HTR7
Bethanidine	ADRA2A,ADRA2B,ADRA2C,KCNJ1,ADRB1,ADRB2,ADRB3
Moxifloxacin	PARC,GYRA,TOP2A
Oxyphenonium	CHRM1
Nelfinavir	HIV-1 PROTEASE
Isoetarine	ADRB1,ADRB2
Glimepiride	KCNJ11,KCNJ1,ABCC8
Diflorasone	NR3C1
Indinavir	POL
Gadodiamide	
Guanadrel	SLC6A2
Lovastatin	HMGCR,ITGAL,HDAC2
Enflurane	GABRA1,GABRA2,GABRA3,GABRA4,GABRA5,GABRA6,GABRB1,GABRB2,GABRB3,GABRD,GABRE,GABRG1,GABRG2,GABRG3,GABRP,GABRQ,GLRA1,GLRB,KCNN4,KCNA1,ATP2C1,GRIA1,ATP5D
Cefotiam	PBPA
Pregabalin	CACNA1A
Temazepam	GABRA1,GABRA2,GABRA3,GABRA4,GABRA5,GABRA6,GABRB1,GABRB2,GABRB3,GABRG1,GABRG2,GABRG3,GABRD,GABRE,GABRP,GABRR1,GABRR2,GABRR3,GABRQ,TSPO,GABRA1,GABRA2,GABRA3,GABRA4,GABRA5,GABRA6,GABRB1,GABRB2,GABRB3,GABRD,GABRE,GABRG1,GABRG2,GABRG3,GABRP,GABRQ
Methyclothiazide	SLC12A1,CA1,CA2,CA4
Aminosalicylic Acid	PTGS2,CHUK,ALOX5,PLA2G2E,FOLK
Reboxetine	SLC6A2
Milrinone	PDE3A
Pipobroman	
Butabarbital	GABRA1,GABRA2,GABRA3,GABRA4,GABRA5,GABRA6,GABRB1,GABRB2,GABRB3,GABRD,GABRE,GABRG1,GABRG2,GABRG3,GABRP,GABRQ,CHRNA4,CHRNA7,GRIA2,GRIK2
Nevirapine	POL
Oxiconazole	ERG11,ERG7
Alclometasone	NR3C1
Butalbital	GABRA1,GABRA2,GABRA3,GABRA4,GABRA5,GABRA6,CHRNA4,CHRNA7,GRIA2,GRIK2,GABRA1,GABRA2,GABRA3,GABRA4,GABRA5,GABRA6,GABRB1,GABRB2,GABRB3,GABRD,GABRE,GABRG1,GABRG2,GABRG3,GABRP,GABRQ
Cladribine	RRM1,RRM2,RRM2B,POLA1,POLE,POLE2,POLE3,POLE4,PNP
Ranolazine	SCN5A,SCN9A
Mesalazine	PTGS2,PTGS1,ALOX5,PPARG,CHUK,IKBKB,MPO,NAT
Benzatropine	CHRM1,SLC6A3,HRH1
Ziprasidone	DRD2,HTR2A,DRD1,DRD5,DRD3,DRD4,HTR1A,HTR1B,HTR1D,HTR1E,HTR2C,HTR3A,HTR6,HTR7,HRH1,ADRA1A,ADRA1B,ADRA2A,ADRA2B,ADRA2C,CHRM1,CHRM2,CHRM3,CHRM4,CHRM5
Methysergide	HTR2B,HTR2C,HTR2A,HTR1A,HTR7,HTR1B,HTR1F,HTR1E
Cabergoline	DRD2,HTR2B,DRD3,HTR2A,ADRA2B,HTR1D,DRD4,ADRA2A,HTR1A,ADRA2C,DRD5,DRD1,HTR1B,HTR2C,HTR7,ADRA1A,ADRA1B,ADRA1D,ADRB1,ADRB2,DRD1,DRD5
Idoxuridine	TK
Dapsone	FOLP2,FOLP1
Terconazole	ERG11
Phenytoin	SCN5A,SCN1A
Medrysone	NR3C1
Doxycycline	RPSI,RPSD,PADI4,B2M
Diethylstilbestrol	ESR1,ESRRG,ESR2
Lymecycline	RPSI,RPSD
Clotrimazole	ERG11,KCNN4
Calcium Acetate	
Sulfanilamide	FOLP
Cycloserine	DDLA,ALR
Anagrelide	PDE3A
Carmustine	GSR
Sulfisoxazole	FOLP
Metoprolol	ADRB1,ADRB2
Crotamiton	
Dicoumarol	VKORC1,NQO1,CRYZ
Cefmenoxime	PBPA,FTSI
Ropinirole	DRD3,DRD2,DRD4,HTR1A,HTR1D,HTR2B,DRD1,DRD5,HTR1B,HTR2A,HTR2C,ADRA2A,ADRA2B,ADRA2C
Chlorotrianisene	ESR1
Isradipine	CACNA1C,CACNA2D1,CACNB2,CACNA1H,CACNA2D2,CACNA1D,CACNA1S
Diatrizoate	
Betazole	HRH2
Topiramate	GABRA1,SCN1A,GRIK1,CA2,CA4,GABRA1,GABRA2,GABRA3,GABRA4,GABRA5,GABRA6,GABRB1,GABRB2,GABRB3,GABRD,GABRE,GABRG1,GABRG2,GABRG3,GABRP,GABRQ
Cefmetazole	MECA,MRCA,MRCB,FTSI,DACA,DACC
Olmesartan	AGTR1
Amsacrine	TOP2A,KCNH2
Theophylline	ADORA1,ADORA2A,ADORA2B,PDE4B,PDE5A,PDE4A,PDE3A,HDAC2
Argatroban	F2
Liothyronine	THRA,THRB
Disopyramide	SCN5A,CHRM1,CHRM2,CHRM3,KCND2,KCND3
Lidocaine	SCN10A,SCN9A,SCN5A,EGFR
Pamidronate	FDPS
Clemastine	HRH1
Acarbose	MGAM,AMY2A,GAA,SI
Venlafaxine	SLC6A4,SLC6A2,SLC6A3
Conjugated estrogens	ESR1
Travoprost	PTGFR
Amcinonide	NR3C1,ANXA1
Atomoxetine	SLC6A2,SLC6A4,SLC6A3,GRIN1,GRIN2A,GRIN2B,GRIN2C,GRIN2D,GRIN3A,GRIN3B
Bleomycin	LIG1,LIG3
Chlorambucil	
Etomidate	GABRA1,ADRA2B,GABRA1,GABRA2,GABRA3,GABRA4,GABRA5,GABRA6,GABRB1,GABRB2,GABRB3,GABRD,GABRE,GABRG1,GABRG2,GABRG3,GABRP,GABRQ
Raltitrexed	TYMS,FPGS
Etonogestrel	PGR,ESR1
Morphine	OPRM1,OPRK1,OPRD1
Ropivacaine	SCN10A
Bupivacaine	SCN10A,PTGER1
Dapiprazole	ADRA1A,ADRA1D,ADRA1B
Penciclovir	,TK
Tenofovir disoproxil	POL
Flucloxacillin	PBPA
Tranexamic Acid	PLG
Ertapenem	MRDA,MRDA,FTSI,FTSI,DACB,MRCA,MRCB,DACC
Desogestrel	PGR,ESR1
Mitomycin	
Talbutal	GABRA1,GABRA2,GABRA3,GABRA4,GABRA5,GABRA6,CHRNA4,CHRNA7,GRIA2,GRIK2,GABRA1,GABRA2,GABRA3,GABRA4,GABRA5,GABRA6,GABRB1,GABRB2,GABRB3,GABRD,GABRE,GABRG1,GABRG2,GABRG3,GABRP,GABRQ
Bexarotene	RXRA,RXRB,RXRG
Ibutilide	CACNA1C,CACNB1,KCNH2,CACNA2D1,CACNG1,KCNK1,KCNK6,KCNH6,KCNH7,KCNJ11
Vindesine	TUBB1
Chlorthalidone	SLC12A1
Ethoxzolamide	CA1,CA2,CA4,CA7
Pentobarbital	GABRA1,GABRA2,GABRA3,GABRA4,GABRA5,GABRA6,CHRNA4,CHRNA7,GRIA2,GRIK2,GABRA1,GABRA2,GABRA3,GABRA4,GABRA5,GABRA6,GABRB1,GABRB2,GABRB3,GABRD,GABRE,GABRG1,GABRG2,GABRG3,GABRP,GABRQ,GRIN1,GRIN2A,GRIN2B,GRIN2C,GRIN2D,GRIN3A,GRIN3B
Valproic Acid	HDAC9,ABAT,ACADSB,OGDH,ALDH5A1,SCN1A,SCN10A,SCN11A,SCN2A,SCN3A,SCN4A,SCN5A,SCN7A,SCN8A,SCN9A,SCN1B,SCN2B,SCN3B,SCN4B,HDAC2
Capreomycin	
Zolmitriptan	HTR1B,HTR1D,HTR1F,HTR1A
Acetaminophen	PTGS1,PTGS2,FAAH,TRPV1
Gefitinib	EGFR
Codeine	OPRM1,OPRK1,OPRD1
Piperacillin	PBP3,PENA,PBP2A,PBP1B
Dihydroergotamine	HTR1D,HTR1B,ADRA2A,HTR2B
Amitriptyline	SLC6A2,SLC6A4,HTR2A,HTR1A,OPRD1,OPRK1,NTRK1,NTRK2,ADRA1A,ADRA1D,ADRA2A,HRH1,CHRM1,CHRM2,CHRM3,CHRM4,CHRM5,KCNQ2,KCNA1,KCND2,KCND3,HRH2,HRH4,SIGMAR1,HTR2C,ADRA1B,HTR7,HTR1D,OPRM1,HTR1B,HTR6,KCNQ3,ADRB1,ADRB2,ADRB3
Floxuridine	TYMS
Tolcapone	COMT
Fluorometholone	NR3C1
Nitroprusside	NPR1
Calcium Gluceptate	
Hydromorphone	OPRM1,OPRD1,OPRK1
