drugbank_id	entrez_gene_id	category	actions	
(2R)-2-(5-CHLORO-2-THIENYL)-N-{(3S)-1-[(1S)-1-METHYL-2-MORPHOLIN-4-YL-2-OXOETHYL]-2-OXOPYRROLIDIN-3-YL}PROPENE-1-SULFONAMIDE	F2	target		
2-(5-CHLORO-2-THIENYL)-N-{(3S)-1-[(1S)-1-METHYL-2-MORPHOLIN-4-YL-2-OXOETHYL]-2-OXOPYRROLIDIN-3-YL}ETHANESULFONAMIDE	F2	target		
2-(5-CHLORO-2-THIENYL)-N-{(3S)-1-[(1S)-1-METHYL-2-MORPHOLIN-4-YL-2-OXOETHYL]-2-OXOPYRROLIDIN-3-YL}ETHENESULFONAMIDE	F2	target		
N-ETHYL-N-ISOPROPYL-3-METHYL-5-{[(2S)-2-(PYRIDIN-4-YLAMINO)PROPYL]OXY}BENZAMIDE	F2	target		
4-(2,5-DIAMINO-5-HYDROXY-PENTYL)-PHENOL	F2	target		
2-[N'-(4-AMINO-BUTYL)-HYDRAZINOCARBONYL]-PYRROLIDINE-1-CARBOXYLIC ACID BENZYL ESTER	F2	target		
5-(DIMETHYLAMINO)-1-NAPHTHALENESULFONIC ACID(DANSYL ACID)	F2	target		
1-ETHOXYCARBONYL-D-PHE-PRO-2(4-AMINOBUTYL)HYDRAZINE	F2	target		
4-TERT-BUTYLBENZENESULFONIC ACID	F2	target		
3-AMINO-3-BENZYL-9-CARBOXAMIDE[4.3.0]BICYCLO-1,6-DIAZANONAN-2-ONE	F2	target		
4-(5-BENZENESULFONYLAMINO-1-METHYL-1H-BENZOIMIDAZOL-2-YLMETHYL)-BENZAMIDINE	F2	target		
1-(2-{[(6-AMINO-2-METHYLPYRIDIN-3-YL)METHYL]AMINO}ETHYL)-6-CHLORO-3-[(2,2-DIFLUORO-2-PYRIDIN-2-YLETHYL)AMINO]-1,4-DIHYDROPYRAZIN-2-OL	F2	target		
6-CHLORO-1-(2-{[(5-CHLORO-1-BENZOTHIEN-3-YL)METHYL]AMINO}ETHYL)-3-[(2-PYRIDIN-2-YLETHYL)AMINO]-1,4-DIHYDROPYRAZIN-2-OL	F2	target		
N-[(2R,3S)-3-AMINO-2-HYDROXY-4-PHENYLBUTYL]NAPHTHALENE-2-SULFONAMIDE	F2	target		
N-[(2R,3S)-3-AMINO-2-HYDROXY-4-PHENYLBUTYL]-4-METHOXY-2,3,6-TRIMETHYLBENZENESULFONAMIDE	F2	target		
2-(6-CHLORO-3-{[2,2-DIFLUORO-2-(2-PYRIDINYL)ETHYL]AMINO}-2-OXO-1(2H)-PYRAZINYL)-N-[(2-FLUORO-6-PYRIDINYL)METHYL]ACETAMIDE	F2	target		
2-(6-CHLORO-3-{[2,2-DIFLUORO-2-(2-PYRIDINYL)ETHYL]AMINO}-2-OXO-1(2H)-PYRAZINYL)-N-[(2-FLUORO-3-METHYL-6-PYRIDINYL)METHYL]ACETAMIDE	F2	target		
2-(6-CHLORO-3-{[2,2-DIFLUORO-2-(1-OXIDO-2-PYRIDINYL)ETHYL]AMINO}-2-OXO-1(2H)-PYRAZINYL)-N-[(2-FLUOROPHENYL)METHYL]ACETAMIDE	F2	target		
3-(7-DIAMINOMETHYL-NAPHTHALEN-2-YL)-PROPIONIC ACID ETHYL ESTER	F2	target		
AC-(D)PHE-PRO-BOROLYS-OH	F2	target		
AC-(D)PHE-PRO-BOROHOMOLYS-OH	F2	target		
AC-(D)PHE-PRO-BOROHOMOORNITHINE-OH	F2	target		
N-[2-(carbamimidamidooxy)ethyl]-2-{6-cyano-3-[(2,2-difluoro-2-pyridin-2-ylethyl)amino]-2-fluorophenyl}acetamide	F2	target		
3-(4-HYDROXY-PHENYL)PYRUVIC ACID	F2	target		
4-(1R,3AS,4R,8AS,8BR)-[1-DIFLUOROMETHYL-2-(4-FLUOROBENZYL)-3-OXODECAHYDROPYRROLO[3,4-A]PYRROLIZIN-4-YL]BENZAMIDINE	F2	target		
(3ASR,4RS,8ASR,8BRS)-4-(2-(4-FLUOROBENZYL)-1,3-DIOXODEACAHYDROPYRROLO[3,4-A] PYRROLIZIN-4-YL)BENZAMIDINE	F2	target		
4-({[4-(3-METHYLBENZOYL)PYRIDIN-2-YL]AMINO}METHYL)BENZENECARBOXIMIDAMIDE	F2	target		
1-(HYDROXYMETHYLENEAMINO)-8-HYDROXY-OCTANE	F2	target		
[[CYCLOHEXANESULFONYL-GLYCYL]-3[PYRIDIN-4-YL-AMINOMETHYL]ALANYL]PIPERIDINE	F2	target		
N-{3-METHYL-5-[2-(PYRIDIN-4-YLAMINO)-ETHOXY]-PHENYL}-BENZENESULFONAMIDE	F2	target		
N-[2-({[amino(imino)methyl]amino}oxy)ethyl]-2-{6-chloro-3-[(2,2-difluoro-2-phenylethyl)amino]-2-fluorophenyl}acetamide	F2	target		
4-[3-(4-CHLOROPHENYL)-1H-PYRAZOL-5-YL]PIPERIDINE	F2	target		
3-(4-CHLOROPHENYL)-5-(METHYLTHIO)-4H-1,2,4-TRIAZOLE	F2	target		
{(2S)-1-[N-(tert-butoxycarbonyl)glycyl]pyrrolidin-2-yl}methyl (3-chlorophenyl)acetate	F2	target		
METHYL-PHE-PRO-AMINO-CYCLOHEXYLGLYCINE	F2	target		
2-NAPHTHALENESULFONIC ACID	F2	target		
[PHENYLALANINYL-PROLINYL]-[2-(PYRIDIN-4-YLAMINO)-ETHYL]-AMINE	F2	target		
4-[(3AS,4R,7R,8AS,8BR)-2-(1,3-BENZODIOXOL-5-YLMETHYL)-7-HYDROXY-1,3-DIOXODECAHYDROPYRROLO[3,4-A]PYRROLIZIN-4-YL]BENZENECARBOXIMIDAMIDE	F2	target		
BENZOTHIAZOLE	F2	target		
C1 Esterase Inhibitor (Recombinant)	F2	target	inhibitor	
Cetuximab	EGFR	target	antagonist	
Trastuzumab	EGFR	target		
Lidocaine	EGFR	target	antagonist	
Gefitinib	EGFR	target	antagonist	
Erlotinib	EGFR	target	antagonist	
Lapatinib	EGFR	target	antagonist	
Panitumumab	EGFR	target	suppressor	
Flavopiridol	EGFR	target		
IGN311	EGFR	target		
Matuzumab	EGFR	target		
Vandetanib	EGFR	target	inhibitor	
HuMax-EGFr	EGFR	target		
Rindopepimut	EGFR	target		
CI-1033	EGFR	target		
IMC-11F8	EGFR	target		
INSM-18	EGFR	target		
S-{3-[(4-ANILINOQUINAZOLIN-6-YL)AMINO]-3-OXOPROPYL}-L-CYSTEINE	EGFR	target		
N-[4-(3-BROMO-PHENYLAMINO)-QUINAZOLIN-6-YL]-ACRYLAMIDE	EGFR	target		
Afatinib	EGFR	target	inhibitor	
Osimertinib	EGFR	target	inhibitor	
Necitumumab	EGFR	target	antagonist	
Icotinib	EGFR	target	antagonist	
Olmutinib	EGFR	target	antagonist	
Cetuximab	FCGR3B	target		
Etanercept	FCGR3B	target		
Immune Globulin Human	FCGR3B	target	antagonist	
Adalimumab	FCGR3B	target		
Abciximab	FCGR3B	target		
Gemtuzumab ozogamicin	FCGR3B	target		
Trastuzumab	FCGR3B	target		
Rituximab	FCGR3B	target		
Basiliximab	FCGR3B	target		
Muromonab	FCGR3B	target		
Ibritumomab tiuxetan	FCGR3B	target		
Tositumomab	FCGR3B	target		
Alemtuzumab	FCGR3B	target		
Alefacept	FCGR3B	target		
Efalizumab	FCGR3B	target		
Natalizumab	FCGR3B	target		
Palivizumab	FCGR3B	target		
Daclizumab	FCGR3B	target		
Bevacizumab	FCGR3B	target		
Cetuximab	C1R	target		
Etanercept	C1R	target		
Adalimumab	C1R	target		
Abciximab	C1R	target		
Gemtuzumab ozogamicin	C1R	target		
Trastuzumab	C1R	target		
Rituximab	C1R	target		
Basiliximab	C1R	target		
Muromonab	C1R	target		
Ibritumomab tiuxetan	C1R	target		
Tositumomab	C1R	target		
Alemtuzumab	C1R	target		
Alefacept	C1R	target		
Efalizumab	C1R	target		
Natalizumab	C1R	target		
Palivizumab	C1R	target		
Daclizumab	C1R	target		
Bevacizumab	C1R	target		
C1 Esterase Inhibitor (Human)	C1R	target	inhibitor	
C1 Esterase Inhibitor (Recombinant)	C1R	target	inhibitor	
Cetuximab	C1QA	target		
Etanercept	C1QA	target		
Adalimumab	C1QA	target		
Abciximab	C1QA	target		
Gemtuzumab ozogamicin	C1QA	target		
Trastuzumab	C1QA	target		
Rituximab	C1QA	target		
Basiliximab	C1QA	target		
Muromonab	C1QA	target		
Ibritumomab tiuxetan	C1QA	target		
Tositumomab	C1QA	target		
Alemtuzumab	C1QA	target		
Alefacept	C1QA	target		
Efalizumab	C1QA	target		
Natalizumab	C1QA	target		
Palivizumab	C1QA	target		
Daclizumab	C1QA	target		
Bevacizumab	C1QA	target		
Cetuximab	C1QB	target		
Etanercept	C1QB	target		
Adalimumab	C1QB	target		
Abciximab	C1QB	target		
Gemtuzumab ozogamicin	C1QB	target		
Trastuzumab	C1QB	target		
Rituximab	C1QB	target		
Basiliximab	C1QB	target		
Muromonab	C1QB	target		
Ibritumomab tiuxetan	C1QB	target		
Tositumomab	C1QB	target		
Alemtuzumab	C1QB	target		
Alefacept	C1QB	target		
Efalizumab	C1QB	target		
Natalizumab	C1QB	target		
Palivizumab	C1QB	target		
Daclizumab	C1QB	target		
Bevacizumab	C1QB	target		
Cetuximab	C1QC	target		
Etanercept	C1QC	target		
Adalimumab	C1QC	target		
Abciximab	C1QC	target		
Gemtuzumab ozogamicin	C1QC	target		
Trastuzumab	C1QC	target		
Rituximab	C1QC	target		
Basiliximab	C1QC	target		
Muromonab	C1QC	target		
Ibritumomab tiuxetan	C1QC	target		
Tositumomab	C1QC	target		
Alemtuzumab	C1QC	target		
Alefacept	C1QC	target		
Efalizumab	C1QC	target		
Natalizumab	C1QC	target		
Palivizumab	C1QC	target		
Daclizumab	C1QC	target		
Bevacizumab	C1QC	target		
Cetuximab	FCGR3A	target		
Etanercept	FCGR3A	target		
Immune Globulin Human	FCGR3A	target	antagonist	
Adalimumab	FCGR3A	target		
Abciximab	FCGR3A	target		
Gemtuzumab ozogamicin	FCGR3A	target		
Trastuzumab	FCGR3A	target		
Rituximab	FCGR3A	target		
Basiliximab	FCGR3A	target		
Muromonab	FCGR3A	target		
Ibritumomab tiuxetan	FCGR3A	target		
Tositumomab	FCGR3A	target		
Alemtuzumab	FCGR3A	target		
Alefacept	FCGR3A	target		
Efalizumab	FCGR3A	target		
Natalizumab	FCGR3A	target		
Palivizumab	FCGR3A	target		
Daclizumab	FCGR3A	target		
Bevacizumab	FCGR3A	target		
Cetuximab	C1S	target		
Etanercept	C1S	target		
Adalimumab	C1S	target		
Abciximab	C1S	target		
Gemtuzumab ozogamicin	C1S	target		
Trastuzumab	C1S	target		
Rituximab	C1S	target		
Basiliximab	C1S	target		
Muromonab	C1S	target		
Ibritumomab tiuxetan	C1S	target		
2-(2-Hydroxy-1,1-Dihydroxymethyl-Ethylamino)-Ethanesulfonic Acid	C1S	target		
C1 Esterase Inhibitor (Human)	C1S	target	inhibitor	
C1 Esterase Inhibitor (Recombinant)	C1S	target	inhibitor	
Cetuximab	FCGR1A	target		
Etanercept	FCGR1A	target		
Immune Globulin Human	FCGR1A	target	antagonist	
Adalimumab	FCGR1A	target		
Abciximab	FCGR1A	target		
Gemtuzumab ozogamicin	FCGR1A	target		
Trastuzumab	FCGR1A	target		
Rituximab	FCGR1A	target		
Basiliximab	FCGR1A	target		
Muromonab	FCGR1A	target		
Ibritumomab tiuxetan	FCGR1A	target		
Tositumomab	FCGR1A	target		
Alemtuzumab	FCGR1A	target		
Alefacept	FCGR1A	target		
Efalizumab	FCGR1A	target		
Natalizumab	FCGR1A	target		
Palivizumab	FCGR1A	target		
Daclizumab	FCGR1A	target		
Bevacizumab	FCGR1A	target		
Porfimer	FCGR1A	target	antagonist	
Methyl aminolevulinate	FCGR1A	target	antibody	
Cetuximab	FCGR2A	target		
Etanercept	FCGR2A	target		
Immune Globulin Human	FCGR2A	target	antagonist	
Adalimumab	FCGR2A	target		
Abciximab	FCGR2A	target		
Gemtuzumab ozogamicin	FCGR2A	target		
Trastuzumab	FCGR2A	target		
Rituximab	FCGR2A	target		
Basiliximab	FCGR2A	target		
Muromonab	FCGR2A	target		
Ibritumomab tiuxetan	FCGR2A	target		
Tositumomab	FCGR2A	target		
Alemtuzumab	FCGR2A	target		
Alefacept	FCGR2A	target		
Efalizumab	FCGR2A	target		
Natalizumab	FCGR2A	target		
Palivizumab	FCGR2A	target		
Daclizumab	FCGR2A	target		
Bevacizumab	FCGR2A	target		
Cetuximab	FCGR2B	target		
Etanercept	FCGR2B	target		
Immune Globulin Human	FCGR2B	target	antagonist	
Adalimumab	FCGR2B	target		
Abciximab	FCGR2B	target		
Gemtuzumab ozogamicin	FCGR2B	target		
Trastuzumab	FCGR2B	target		
Rituximab	FCGR2B	target		
Basiliximab	FCGR2B	target		
Muromonab	FCGR2B	target		
Ibritumomab tiuxetan	FCGR2B	target		
Tositumomab	FCGR2B	target		
Alemtuzumab	FCGR2B	target		
Alefacept	FCGR2B	target		
Efalizumab	FCGR2B	target		
Anti-thymocyte Globulin (Rabbit)	FCGR2B	target		
Natalizumab	FCGR2B	target		
Palivizumab	FCGR2B	target		
Daclizumab	FCGR2B	target		
Bevacizumab	FCGR2B	target		
Cetuximab	FCGR2C	target		
Etanercept	FCGR2C	target		
Immune Globulin Human	FCGR2C	target	antagonist	
Adalimumab	FCGR2C	target		
Abciximab	FCGR2C	target		
Gemtuzumab ozogamicin	FCGR2C	target		
Trastuzumab	FCGR2C	target		
Rituximab	FCGR2C	target		
Basiliximab	FCGR2C	target		
Muromonab	FCGR2C	target		
Ibritumomab tiuxetan	FCGR2C	target		
Tositumomab	FCGR2C	target		
Alemtuzumab	FCGR2C	target		
Alefacept	FCGR2C	target		
Efalizumab	FCGR2C	target		
Natalizumab	FCGR2C	target		
Palivizumab	FCGR2C	target		
Daclizumab	FCGR2C	target		
Bevacizumab	FCGR2C	target		
Denileukin diftitox	IL2RA	target	binder	
Aldesleukin	IL2RA	target	agonist|modulator	
Basiliximab	IL2RA	target	antibody	
Daclizumab	IL2RA	target	antibody	
Denileukin diftitox	IL2RB	target	agonist	
Aldesleukin	IL2RB	target	agonist|modulator	
Basiliximab	IL2RB	target	antibody	
Daclizumab	IL2RB	target	antibody	
Denileukin diftitox	IL2RG	target		
Aldesleukin	IL2RG	target	agonist	
Etanercept	TNF	target	antibody	
Adalimumab	TNF	target	antibody	
Infliximab	TNF	target	inhibitor	
Chloroquine	TNF	target		
Epinephrine	TNF	target	antagonist	
Pseudoephedrine	TNF	target		
Thalidomide	TNF	target	inhibitor	
Glucosamine	TNF	target		
Clenbuterol	TNF	target	other/unknown	
Pranlukast	TNF	target	other/unknown	
Amrinone	TNF	target	inhibitor	
Isopropyl Alcohol	TNF	target		
Afelimomab	TNF	target		
YSIL6	TNF	target		
AV411	TNF	target		
SD118	TNF	target		
PN0621	TNF	target		
681323	TNF	target		
OMS-103HP	TNF	target		
SCIO-469	TNF	target		
VX-702	TNF	target		
Apremilast	TNF	target		
CRx-139	TNF	target		
CYT007-TNFQb	TNF	target		
HMPL-004	TNF	target		
CTI-01	TNF	target		
AME-527	TNF	target		
Golimumab	TNF	target	antibody	
Certolizumab pegol	TNF	target	neutralizer	
Pomalidomide	TNF	target	inhibitor	
Etanercept	TNFRSF1B	target		
Etanercept	LTA	target		
Etanercept	PTGS2	enzyme	inhibitor	
Desmopressin	PTGS2	enzyme	inducer	
Aldesleukin	PTGS2	enzyme	inducer	
Dihomo-gamma-linolenic acid	PTGS2	target		
Icosapent	PTGS2	target	inhibitor	
Aminosalicylic Acid	PTGS2	target	inhibitor	
Mesalazine	PTGS2	target	inhibitor	
Dapsone	PTGS2	enzyme	substrate	
Acetaminophen	PTGS2	target	inhibitor	
Indomethacin	PTGS2	target	inhibitor	
Sapropterin	PTGS2	enzyme	inducer	
Nabumetone	PTGS2	target	inhibitor	
Ketorolac	PTGS2	target	inhibitor	
Tenoxicam	PTGS2	target	inhibitor	
Lenalidomide	PTGS2	target	negative modulator	
Celecoxib	PTGS2	target	inhibitor	
Tolmetin	PTGS2	target	inhibitor	
Cisplatin	PTGS2	enzyme	inhibitor	
Rofecoxib	PTGS2	target	inhibitor	
Piroxicam	PTGS2	target	inhibitor	
Fenoprofen	PTGS2	target	inhibitor	
Valdecoxib	PTGS2	target	inhibitor	
Diclofenac	PTGS2	target	inhibitor	
Sulindac	PTGS2	target	inhibitor	
Triamcinolone	PTGS2	enzyme	inhibitor	
Flurbiprofen	PTGS2	target	inhibitor	
Clodronate	PTGS2	enzyme	inhibitor	
Etodolac	PTGS2	target	inhibitor	
Etoposide	PTGS2	enzyme	substrate	
Mefenamic acid	PTGS2	target	inhibitor	
Naproxen	PTGS2	target	inhibitor	
Sulfasalazine	PTGS2	target	inhibitor	
Phenylbutazone	PTGS2	target	inhibitor	
Meloxicam	PTGS2	target	inhibitor	
Carprofen	PTGS2	target	inhibitor	
Chlorphenesin	PTGS2	enzyme	inhibitor	
Diflunisal	PTGS2	target	inhibitor	
Suprofen	PTGS2	target	inhibitor	
Risedronate	PTGS2	enzyme	inducer	
Bumetanide	PTGS2	enzyme	inducer	
Salicylic acid	PTGS2	target	inhibitor	
Meclofenamic acid	PTGS2	target	inhibitor	
Acetylsalicylic acid	PTGS2	target	inhibitor	
Bromfenac	PTGS2	target	inhibitor	
Bromfenac	PTGS2	enzyme	inhibitor	
Oxaprozin	PTGS2	target	inhibitor	
Ketoprofen	PTGS2	target	inhibitor	
Balsalazide	PTGS2	target	inhibitor	
Thalidomide	PTGS2	target	antagonist	
Thalidomide	PTGS2	enzyme	substrate	
Ibuprofen	PTGS2	target	inhibitor	
Ibuprofen	PTGS2	enzyme	inhibitor	
Lumiracoxib	PTGS2	target	inhibitor	
Drospirenone	PTGS2	enzyme	inhibitor	
Magnesium salicylate	PTGS2	target	inhibitor	
Salsalate	PTGS2	target	inhibitor	
Trisalicylate-choline	PTGS2	target	inhibitor	
Ginseng	PTGS2	target	inhibitor	
Antrafenine	PTGS2	target	inhibitor	
Antipyrine	PTGS2	target	inhibitor	
Tiaprofenic acid	PTGS2	target	inhibitor	
Etoricoxib	PTGS2	target	inhibitor	
Flufenamic Acid	PTGS2	target		
Resveratrol	PTGS2	target	inhibitor	
1-Phenylsulfonamide-3-Trifluoromethyl-5-Parabromophenylpyrazole	PTGS2	target		
Prostaglandin G2	PTGS2	target		
Niflumic Acid	PTGS2	target	inhibitor	
Licofelone	PTGS2	target		
Nimesulide	PTGS2	target	inhibitor	
Cimicoxib	PTGS2	target		
Cimicoxib	PTGS2	enzyme	inhibitor	
dehydroepiandrosterone sulfate	PTGS2	enzyme	inducer	
substance P	PTGS2	enzyme	inducer	
Lornoxicam	PTGS2	target	inhibitor	
Capsaicin	PTGS2	enzyme	inhibitor	
Nepafenac	PTGS2	target	inhibitor	
Nonoxynol-9	PTGS2	enzyme	inducer	
Parecoxib	PTGS2	target	inhibitor	
Tafluprost	PTGS2	enzyme	inducer	
Pomalidomide	PTGS2	target	inhibitor	
Firocoxib	PTGS2	target		
Bivalirudin	MPO	enzyme	inhibitor	
Human Serum Albumin	MPO	enzyme	substrate	
Octreotide	MPO	enzyme	inhibitor	
Ticlopidine	MPO	enzyme	substrate	
Aminosalicylic Acid	MPO	enzyme	inhibitor	
Mesalazine	MPO	target		
Dapsone	MPO	enzyme	substrate	
Nabumetone	MPO	enzyme	inhibitor	
Tolmetin	MPO	enzyme	inhibitor	
Cisplatin	MPO	enzyme	inducer	
Oxaliplatin	MPO	enzyme	substrate	
Cefdinir	MPO	target	inhibitor	
Propylthiouracil	MPO	enzyme	inhibitor	
L-Carnitine	MPO	target		
Cefaclor	MPO	enzyme	inducer	
Cysteamine	MPO	enzyme	substrate	
Carboplatin	MPO	enzyme	substrate	
Melatonin	MPO	target	inhibitor	
Melatonin	MPO	enzyme	substrate|inhibitor	
Enoxaparin	MPO	enzyme	Other	
Calcipotriol	MPO	enzyme	inhibitor	
Nomifensine	MPO	target		
Ethyl carbamate	MPO	enzyme	inducer	
Elafin	MPO	enzyme	inhibitor	
Capsaicin	MPO	enzyme	inhibitor	
Tiopronin	MPO	enzyme	inhibitor	
Leuprolide	GNRHR	target	agonist	
Goserelin	GNRHR	target	agonist	
Cetrorelix	GNRHR	target	antagonist	
Abarelix	GNRHR	target	antagonist	
Gonadorelin	GNRHR	target	agonist	
Nafarelin	GNRHR	target	agonist	
Danazol	GNRHR	target	negative modulator	
NBI-56418	GNRHR	target		
Degarelix	GNRHR	target	antagonist	
Buserelin	GNRHR	target		
Ganirelix	GNRHR	target	antagonist	
Histrelin	GNRHR	target	agonist	
Triptorelin	GNRHR	target	agonist	
Peginterferon alfa-2a	IFNAR2	target	agonist	
Interferon alfa-n1	IFNAR2	target	agonist	
Interferon alfa-n3	IFNAR2	target	agonist	
Peginterferon alfa-2b	IFNAR2	target	agonist	
Interferon Alfa-2a, Recombinant	IFNAR2	target		
Interferon beta-1a	IFNAR2	target		
Interferon beta-1b	IFNAR2	target	agonist	
Interferon alfacon-1	IFNAR2	target	binder	
Interferon Alfa-2b, Recombinant	IFNAR2	target	binder	
omega interferon	IFNAR2	target		
Peginterferon alfa-2a	IFNAR1	target	agonist	
Interferon alfa-n1	IFNAR1	target	agonist	
Interferon alfa-n3	IFNAR1	target	agonist	
Peginterferon alfa-2b	IFNAR1	target	agonist	
Interferon Alfa-2a, Recombinant	IFNAR1	target		
Interferon beta-1a	IFNAR1	target	agonist	
Interferon beta-1b	IFNAR1	target	agonist	
Interferon alfacon-1	IFNAR1	target	binder	
